PKMN,US,UM
Sandshrew,,UM
Sandslash,,UM
Vulpix,US,
Ninetales,US,
,,
Alola Form,,
Houndour,US,
Houndoom,US,
Raikou,US,
Entei,,UM
Lugia,,UM
Ho-Oh,US,
Electrike,,UM
Manectric,,UM
Baltoy,,UM
Claydol,,UM
Latias,,UM
Latios,US,
Kyogre,,UM
Groudon,US,
Dialga,US,
Palkia,,UM
Heatran,US,
Regigigas,,UM
Cottonee,US,
Whimsicott,US,
Petilil,,UM
Lilligant,,UM
Golett,US,
Golurk,US,
Rufflet,US,
Braviary,US,
Vullaby,,UM
Mandibuzz,,UM
Tornadus,US,
Thundurus,,UM
Reshiram,US,
Zekrom,,UM
Skrelp,,UM
Dragalge,,UM
Clauncher,US,
Clawitzer,US,
Xerneas,US,
Yveltal,,UM
Oranguru,,UM
Passimian,US,
Turtonator,US,
Drampa,,UM
Solgaleo,US,
Lunala,,UM
Buzzwole,US,
Pheromosa,,UM
Celesteela,,UM
Kartana,US,
Stakataka,,UM
Blacephalon,US,
