PKMN,HG,SS
Vulpix,,SS
Ninetales,,SS
Meowth,,SS
Persian,,SS
Mankey,HG,
Primeape,HG,
Growlithe,HG,
Arcanine,HG,
Omanyte,HG,
Omastar,HG,
Kabuto,,SS
Kabutops,,SS
Ledyba,,SS
Ledian,,SS
Spinarak,HG,
Ariados,HG,
Gligar,HG,
Teddiursa,,SS
Ursaring,,SS
Delibird,,SS
Mantine,HG,
Skarmory,,SS
Phanpy,HG,
Donphan,HG,
Sableye,HG,
Mawile,,SS
Gulpin,,SS
Swalot,,SS
Baltoy,HG,
Claydol,HG,
Lileep,,SS
Cradily,,SS
Anorith,HG,
Armaldo,HG,
Kyogre,HG,
Groudon,,SS
Mantyke,HG,
Gliscor,HG,
